nodes,techs,carriers,definition_matrix
ESP_1,existing_rooftop_pv,natural_gas,False
ESP_1,existing_rooftop_pv,oil,False
ESP_1,existing_rooftop_pv,uranium,False
ESP_1,existing_wind_onshore,coal,False
ESP_1,existing_wind_onshore,electricity,True
ESP_1,existing_wind_onshore,natural_gas,False
ESP_1,existing_wind_onshore,oil,False
ESP_1,existing_wind_onshore,uranium,False
ESP_1,existing_wte,coal,False
ESP_1,existing_wte,electricity,True
ESP_1,existing_wte,natural_gas,False
ESP_1,existing_wte,oil,False
ESP_1,existing_wte,uranium,False
ESP_1,natural_gas_DEU,coal,False
ESP_1,natural_gas_DEU,electricity,False
ESP_1,natural_gas_DEU,natural_gas,False
ESP_1,natural_gas_DEU,oil,False
ESP_1,natural_gas_DEU,uranium,False
ESP_1,natural_gas_DNK,coal,False
ESP_1,natural_gas_DNK,electricity,False
